,graph,model,seed,threshold,n_covered,compare,n,coverage,t_mean
0,football,MDH,None,0.5,32,31,115,0.27826087,0.032305002
1,jazz,MDH,None,0.5,29,31,198,0.146464646,0.006885529
2,karate,MDH,None,0.5,8,8,62,0.129032258,0.013549089
3,CA-CondMat,MDH,None,0.5,2936,2938,23133,0.126918255,11.23844361
4,gemsec_facebook_artist,MDH,None,0.5,430,790,50514,0.008512492,18.45903015
5,ego-facebook,MDH,None,0.5,534,528,4039,0.132210943,0.574994802
6,actors_dat,MDH,None,0.5,1013,1014,10042,0.100876319,2.091999769
7,CA-AstroPh,MDH,None,0.5,1636,1638,18772,0.087151076,7.119920969
8,CA-CondMat,MDH,None,0.5,2936,2938,23133,0.126918255,12.51298404
9,CA-GrQc,MDH,None,0.5,1027,1033,5242,0.195917589,1.26157403
10,CA-HepPh,MDH,None,0.5,1523,1529,12008,0.126832112,3.26020503
11,CA-HepTh,MDH,None,0.5,1389,1388,9877,0.140629746,2.026985884
12,dolphins,MDH,None,0.5,3,3,34,0.088235294,0.015906334
13,Email-Enron,MDH,None,0.5,2880,2881,36692,0.078491224,24.59499335
14,ncstrlwg2,MDH,None,0.5,1108,1108,6396,0.173233271,0.72455883
15,soc-gplus,MDH,None,0.5,69,69,23628,0.002920264,4.779332161
16,socfb-Brandeis99,MDH,None,0.5,396,395,3898,0.101590559,0.27760911
17,socfb-Mich67,MDH,None,0.5,206,202,3748,0.054962647,0.238150597
18,socfb-nips-ego,MDH,None,0.5,10,10,2888,0.003462604,0.097189665
