,graph,model,seed,threshold,n_covered,n,coverage,t_mean
0,ego-facebook,GAT,13,0.5,723,4039,0.1790047041346868,0.7664284706115723
1,gemsec_facebook_artist,GAT,13,0.5,3497,50514,0.06922833273943857,11.916865587234497
2,actors_dat,GAT,13,0.5,2032,10042,0.2023501294562836,2.147331714630127
3,CA-AstroPh,GAT,13,0.5,3365,18772,0.1792563392286384,4.425135374069214
4,CA-CondMat,GAT,13,0.5,3539,23133,0.15298491332728137,5.141691207885742
5,CA-GrQc,GAT,13,0.5,845,5242,0.16119801602441816,0.5349438190460205
6,CA-HepPh,GAT,13,0.5,1582,12008,0.13174550299800133,1.9550988674163818
7,CA-HepTh,GAT,13,0.5,1281,9877,0.12969525159461376,1.1750216484069824
8,dolphins,GAT,13,0.5,7,34,0.20588235294117646,0.020092487335205078
9,Email-Enron,GAT,13,0.5,4932,36692,0.1344162215196773,9.90610671043396
10,football,GAT,13,0.5,36,115,0.3130434782608696,0.07852697372436523
11,jazz,GAT,13,0.5,57,198,0.2878787878787879,0.0349423885345459
12,karate,GAT,13,0.5,13,62,0.20967741935483872,0.01101541519165039
13,ncstrlwg2,GAT,13,0.5,1306,6396,0.20419011882426516,0.640716552734375
14,soc-gplus,GAT,13,0.5,4201,23628,0.17779752835618756,4.236387252807617
15,socfb-Brandeis99,GAT,13,0.5,1196,3898,0.3068240123140072,0.9939329624176025
16,socfb-Mich67,GAT,13,0.5,1185,3748,0.31616862326574174,0.7473554611206055
17,socfb-nips-ego,GAT,13,0.5,707,2888,0.24480609418282548,0.2048797607421875
18,ego-facebook,GCN,13,0.5,961,4039,0.2379301807378064,0.7199344635009766
19,gemsec_facebook_artist,GCN,13,0.5,3876,50514,0.0767312032307875,9.509430885314941
20,actors_dat,GCN,13,0.5,1554,10042,0.1547500497908783,1.627039909362793
21,CA-AstroPh,GCN,13,0.5,2402,18772,0.12795653100362242,4.2247185707092285
22,CA-CondMat,GCN,13,0.5,3669,23133,0.15860459084424847,5.550236225128174
23,CA-GrQc,GCN,13,0.5,960,5242,0.18313620755436857,0.5301990509033203
24,CA-HepPh,GCN,13,0.5,1614,12008,0.1344103930712858,1.9973328113555908
25,CA-HepTh,GCN,13,0.5,1410,9877,0.14275589753973877,1.2046353816986084
26,dolphins,GCN,13,0.5,4,34,0.11764705882352941,0.010942697525024414
27,Email-Enron,GCN,13,0.5,3743,36692,0.10201133762127984,10.638254642486572
28,football,GCN,13,0.5,31,115,0.26956521739130435,0.06219887733459473
29,jazz,GCN,13,0.5,51,198,0.25757575757575757,0.030332326889038086
30,karate,GCN,13,0.5,13,62,0.20967741935483872,0.0
31,ncstrlwg2,GCN,13,0.5,1317,6396,0.20590994371482177,0.7127058506011963
32,soc-gplus,GCN,13,0.5,3195,23628,0.13522092432706959,4.165090322494507
33,socfb-Brandeis99,GCN,13,0.5,1362,3898,0.3494099538224731,0.9854419231414795
34,socfb-Mich67,GCN,13,0.5,1176,3748,0.3137673425827108,0.7801783084869385
35,socfb-nips-ego,GCN,13,0.5,293,2888,0.10145429362880887,0.20996379852294922
36,ego-facebook,GraphConv,13,0.5,963,4039,0.23842535281010152,0.6697125434875488
37,gemsec_facebook_artist,GraphConv,13,0.5,3974,50514,0.07867125945282497,9.48019289970398
38,actors_dat,GraphConv,13,0.5,1525,10042,0.1518621788488349,1.5599660873413086
39,CA-AstroPh,GraphConv,13,0.5,2787,18772,0.14846580012785,3.970370292663574
40,CA-CondMat,GraphConv,13,0.5,4107,23133,0.1775385812475684,5.223503112792969
41,CA-GrQc,GraphConv,13,0.5,908,5242,0.1732163296451736,0.4897613525390625
42,CA-HepPh,GraphConv,13,0.5,1404,12008,0.11692205196535643,1.9020259380340576
43,CA-HepTh,GraphConv,13,0.5,1208,9877,0.12230434342411664,1.1214587688446045
44,dolphins,GraphConv,13,0.5,4,34,0.11764705882352941,0.016710996627807617
45,Email-Enron,GraphConv,13,0.5,2768,36692,0.07543878774664776,9.294968843460083
46,football,GraphConv,13,0.5,33,115,0.28695652173913044,0.054132938385009766
47,jazz,GraphConv,13,0.5,42,198,0.21212121212121213,0.029570817947387695
48,karate,GraphConv,13,0.5,11,62,0.1774193548387097,0.004008054733276367
49,ncstrlwg2,GraphConv,13,0.5,1403,6396,0.21935584740462788,0.6497354507446289
50,soc-gplus,GraphConv,13,0.5,3556,23628,0.1504994074826477,4.1379101276397705
51,socfb-Brandeis99,GraphConv,13,0.5,1288,3898,0.3304258594150847,0.9548652172088623
52,socfb-Mich67,GraphConv,13,0.5,1112,3748,0.29669156883671294,0.7829561233520508
53,socfb-nips-ego,GraphConv,13,0.5,175,2888,0.06059556786703601,0.16173839569091797
