,BC,PageRank,closeness_centrality,EigenDegree,MDH
2.25_10,97,97,102,100,96
2.25_20,129,128,129,129,128
2.25_30,145,144,144,144,143
2.25_5,85,84,85,86,81
2.5_10,126,126,135,135,127
2.5_20,160,159,161,158,156
2.5_30,176,173,174,176,176
2.5_5,107,97,115,114,100
2.75_10,143,143,155,159,141
2.75_20,183,180,183,182,181
2.75_30,197,200,198,201,198
2.75_5,107,104,114,116,105
2_10,16,16,16,16,16
2_20,24,24,24,24,24
2_30,34,34,34,34,34
2_5,46,46,46,46,46
3_10,101,97,105,103,97
3_20,127,127,129,132,127
3_30,156,149,149,153,149
3_5,73,71,81,80,71
